Date and time:,2022-05-10 10:21:49
Notes:

Chronoamperometry: CA i vs t
Date and time measurement:,2022-04-11 13:10:51,
s,µA
0,-3151.45
0.01,-3091.42
0.02,-3018.18
0.03,-2930.15
0.04,-2826.3
0.05,-2750.1
0.06,-2706.56
0.07,-2677.24
0.08,-2652.63
0.09,-2624.78
0.1,-2594.31
0.11,-2559.84
0.12,-2526.51
0.13,-2492.84
0.14,-2460.7
0.15,-2428.47
0.16,-2398.29
0.17,-2367.67
0.18,-2338.06
0.19,-2307.64
0.2,-2277.36
0.21,-2245.6
0.22,-2213.61
0.23,-2180.18
0.24,-2146.71
0.25,-2111.99
0.26,-2077.42
0.27,-2042.99
0.28,-2008.99
0.29,-1975
0.3,-1942.19
0.31,-1909.43
0.32,-1878.1
0.33,-1847.16
0.34,-1817.31
0.35,-1787.69
0.36,-1759.27
0.37,-1731.19
0.38,-1704.34
0.39,-1677.83
0.4,-1652.75
0.41,-1628.38
0.42,-1605.73
0.43,-1583.61
0.44,-1563.53
0.45,-1544.27
0.46,-1527.2
0.47,-1510.41
0.48,-1496.11
0.49,-1482.42
0.5,-1470.31
0.51,-1458.48
0.52,-1448.37
0.53,-1438.27
0.54,-1429.83
0.55,-1421.15
0.56,-1413.99
0.57,-1406.56
0.58,-1400.55
0.59,-1393.82
0.6,-1388.29
0.61,-1382.43
0.62,-1377.66
0.63,-1372.41
0.64,-1368.12
0.65,-1363.35
0.66,-1359.49
0.67,-1355.15
0.68,-1351.62
0.69,-1347.62
0.7,-1344.47
0.71,-1340.61
0.72,-1337.6
0.73,-1334.22
0.74,-1331.45
0.75,-1328.16
0.76,-1325.78
0.77,-1322.54
0.78,-1320.2
0.79,-1317.2
0.8,-1315.15
0.81,-1312.24
0.82,-1310.19
0.83,-1307.61
0.84,-1305.61
0.85,-1303.13
0.86,-1301.32
0.87,-1298.74
0.88,-1297.12
0.89,-1294.78
0.9,-1293.26
0.91,-1290.92
0.92,-1289.4
0.93,-1287.2
0.94,-1285.77
0.95,-1283.63
0.96,-1282.39
0.97,-1280.34
0.98,-1278.95
0.99,-1277.05
1,-1275.85
1.01,-1273.99
1.02,-1272.85
1.03,-1271.09
1.04,-1270.04
1.05,-1268.22
1.06,-1267.18
1.07,-1265.51
1.08,-1264.6
1.09,-1262.98
1.1,-1262.07
1.11,-1260.5
1.12,-1259.64
1.13,-1258.12
1.14,-1257.4
1.15,-1255.87
1.16,-1255.16
1.17,-1253.73
1.18,-1253.06
1.19,-1251.54
1.2,-1251.11
1.21,-1249.68
1.22,-1249.06
1.23,-1247.82
1.24,-1247.24
1.25,-1245.96
1.26,-1245.48
1.27,-1244.24
1.28,-1243.72
1.29,-1242.57
1.3,-1242.05
1.31,-1240.9
1.32,-1240.47
1.33,-1239.33
1.34,-1238.95
1.35,-1237.85
1.36,-1237.42
1.37,-1236.37
1.38,-1236.04
1.39,-1234.99
1.4,-1234.66
1.41,-1233.65
1.42,-1233.32
1.43,-1232.37
1.44,-1231.99
1.45,-1230.94
1.46,-1230.7
1.47,-1229.79
1.48,-1229.46
1.49,-1228.46
1.5,-1228.22
1.51,-1227.26
1.52,-1227.07
1.53,-1226.07
1.54,-1225.79
1.55,-1224.98
1.56,-1224.69
1.57,-1223.74
1.58,-1223.55
1.59,-1222.59
1.6,-1222.45
1.61,-1221.49
1.62,-1221.26
1.63,-1220.4
1.64,-1220.16
1.65,-1219.25
1.66,-1219.06
1.67,-1218.2
1.68,-1218.01
1.69,-1217.16
1.7,-1216.96
1.71,-1216.06
1.72,-1215.92
1.73,-1215.01
1.74,-1214.82
1.75,-1213.96
1.76,-1213.82
1.77,-1212.91
1.78,-1212.77
1.79,-1211.86
1.8,-1211.72
1.81,-1210.86
1.82,-1210.67
1.83,-1209.81
1.84,-1209.72
1.85,-1208.81
1.86,-1208.62
1.87,-1207.81
1.88,-1207.62
1.89,-1206.81
1.9,-1206.67
1.91,-1205.76
1.92,-1205.62
1.93,-1204.81
1.94,-1204.61
1.95,-1203.76
1.96,-1203.61
1.97,-1202.76
1.98,-1202.61
1.99,-1201.71
2,-1201.61
2.01,-1200.8
2.02,-1200.66
2.03,-1199.8
2.04,-1199.66
2.05,-1198.8
2.06,-1198.65
2.07,-1197.84
2.08,-1197.65
2.09,-1196.84
2.1,-1196.7
2.11,-1195.84
2.12,-1195.7
2.13,-1194.84
2.14,-1194.65
2.15,-1193.79
2.16,-1193.65
2.17,-1192.84
2.18,-1192.69
2.19,-1191.84
2.2,-1191.74
2.21,-1190.88
2.22,-1190.74
2.23,-1189.88
2.24,-1189.74
2.25,-1188.88
2.26,-1188.69
2.27,-1187.88
2.28,-1187.73
2.29,-1186.88
2.3,-1186.73
2.31,-1185.87
2.32,-1185.73
2.33,-1184.87
2.34,-1184.73
2.35,-1183.92
2.36,-1183.73
2.37,-1182.87
2.38,-1182.73
2.39,-1181.87
2.4,-1181.73
2.41,-1180.92
2.42,-1180.72
2.43,-1179.91
2.44,-1179.72
2.45,-1178.82
2.46,-1178.67
2.47,-1177.82
2.48,-1177.67
2.49,-1176.86
2.5,-1176.67
2.51,-1175.81
2.52,-1175.62
2.53,-1174.81
2.54,-1174.62
2.55,-1173.81
2.56,-1173.62
2.57,-1172.81
2.58,-1172.62
2.59,-1171.76
2.6,-1171.62
2.61,-1170.76
2.62,-1170.62
2.63,-1169.71
2.64,-1169.57
2.65,-1168.71
2.66,-1168.52
2.67,-1167.66
2.68,-1167.52
2.69,-1166.66
2.7,-1166.47
2.71,-1165.61
2.72,-1165.42
2.73,-1164.56
2.74,-1164.37
2.75,-1163.56
2.76,-1163.32
2.77,-1162.51
2.78,-1162.32
2.79,-1161.41
2.8,-1161.22
2.81,-1160.36
2.82,-1160.17
2.83,-1159.31
2.84,-1159.17
2.85,-1158.22
2.86,-1158.03
2.87,-1157.17
2.88,-1156.98
2.89,-1156.07
2.9,-1155.93
2.91,-1155.02
2.92,-1154.83
2.93,-1153.93
2.94,-1153.74
2.95,-1152.88
2.96,-1152.69
2.97,-1151.78
2.98,-1151.59
2.99,-1150.73
3,-1150.54
3.01,-1149.63
3.02,-1149.4
3.03,-1148.54
3.04,-1148.35
3.05,-1147.44
3.06,-1147.3
3.07,-1146.34
3.08,-1146.11
3.09,-1145.2
3.1,-1145.01
3.11,-1144.15
3.12,-1143.91
3.13,-1143.2
3.14,-1142.77
3.15,-1141.91
3.16,-1141.77
3.17,-1140.77
3.18,-1140.48
3.19,-1139.53
3.2,-1139.43
3.21,-1138.57
3.22,-1138.24
3.23,-1137.43
3.24,-1137.19
3.25,-1136.28
3.26,-1136.04
3.27,-1135.14
3.28,-1134.9
3.29,-1133.99
3.3,-1133.8
3.31,-1132.8
3.32,-1132.61
3.33,-1131.66
3.34,-1131.42
3.35,-1130.51
3.36,-1130.28
3.37,-1129.32
3.38,-1129.13
3.39,-1128.22
3.4,-1127.94
3.41,-1126.99
3.42,-1126.75
3.43,-1125.89
3.44,-1125.6
3.45,-1124.7
3.46,-1124.46
3.47,-1123.5
3.48,-1123.27
3.49,-1122.31
3.5,-1122.07
3.51,-1121.12
3.52,-1120.83
3.53,-1119.93
3.54,-1119.64
3.55,-1118.74
3.56,-1118.45
3.57,-1117.5
3.58,-1117.26
3.59,-1116.26
3.6,-1115.97
3.61,-1115.06
3.62,-1114.83
3.63,-1113.82
3.64,-1113.59
3.65,-1112.63
3.66,-1112.35
3.67,-1111.39
3.68,-1111.11
3.69,-1110.15
3.7,-1109.91
3.71,-1108.91
