Date and time:,2022-05-10 10:22:14
Notes:
,,,,,,,,,,,,,,,,,,
Cyclic Voltammetry: CV i vs E Scan 1,,Cyclic Voltammetry: CV i vs E Scan 2,,Cyclic Voltammetry: CV i vs E Scan 3,,Cyclic Voltammetry: CV i vs E Scan 4,,Cyclic Voltammetry: CV i vs E Scan 5,,Cyclic Voltammetry: CV i vs E Scan 6,,Cyclic Voltammetry: CV i vs E Scan 7,,Cyclic Voltammetry: CV i vs E Scan 8,,Cyclic Voltammetry: CV i vs E Scan 9,,Cyclic Voltammetry: CV i vs E Scan 10
Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
3.91006E-05,22.3804,3.91006E-05,-30.3579,3.91006E-05,-28.4267,3.91006E-05,-26.7244,3.91006E-05,-25.0269,3.91006E-05,-25.1461,3.91006E-05,-26.6958,3.91006E-05,-28.2217,3.91006E-05,-29.8286,3.91006E-05,-32.1032
0.00105476,23.1529,0.00105476,-25.5848,0.00105476,-23.3532,0.00105476,-21.3409,0.00105476,-20.4493,0.00105476,-20.5923,0.00105476,-21.6461,0.00105476,-23.4819,0.00105476,-25.6706,0.00105476,-27.2966
0.00199223,23.4247,0.00199223,-22.6189,0.00199223,-20.4969,0.00199223,-18.9186,0.00199223,-17.4165,0.00199223,-17.7646,0.00199223,-19.4145,0.00199223,-21.1264,0.00199223,-22.8477,0.00199223,-25.2033
0.00300789,24.0208,0.00300789,-20.8117,0.00300789,-18.4322,0.00300789,-16.4819,0.00300789,-15.6093,0.00300789,-15.8573,0.00300789,-17.0208,0.00300789,-18.9568,0.00300789,-21.1788,0.00300789,-22.9145
0.00402355,24.3259,0.00402355,-18.7088,0.00402355,-16.5296,0.00402355,-14.9704,0.00402355,-13.4731,0.00402355,-13.9118,0.00402355,-15.6045,0.00402355,-17.3498,0.00402355,-19.2142,0.00402355,-21.5412
0.00496101,24.9775,0.00496101,-17.3688,0.00496101,-14.8607,0.00496101,-13.0439,0.00496101,-12.1332,0.00496101,-12.4383,0.00496101,-13.6543,0.00496101,-15.6618,0.00496101,-17.8791,0.00496101,-19.591
0.00597668,25.2369,0.00597668,-15.5855,0.00597668,-13.2435,0.00597668,-11.6728,0.00597668,-10.2847,0.00597668,-10.7086,0.00597668,-12.4286,0.00597668,-14.2887,0.00597668,-16.1338,0.00597668,-18.5514
0.00699234,25.8978,0.00699234,-14.5166,0.00699234,-11.916,0.00699234,-10.0758,0.00699234,-9.22326,0.00699234,-9.46168,0.00699234,-10.7592,0.00699234,-12.7967,0.00699234,-15.116,0.00699234,-16.9063
0.008008,26.1367,0.008008,-12.934,0.008008,-10.6423,0.008008,-9.01583,0.008008,-7.55289,0.008008,-8.05071,0.008008,-9.82455,0.008008,-11.6837,0.008008,-13.5668,0.008008,-15.9863
0.00894547,26.7995,0.00894547,-12.0919,0.00894547,-9.34676,0.00894547,-7.56767,0.00894547,-6.75609,0.00894547,-7.00644,0.00894547,-8.30487,0.00894547,-10.3557,0.00894547,-12.7538,0.00894547,-14.4637
0.00996113,27.0842,0.00996113,-10.6252,0.00996113,-8.21427,0.00996113,-6.60303,0.00996113,-5.17776,0.00996113,-5.69084,0.00996113,-7.48852,0.00996113,-9.34056,0.00996113,-11.3037,0.00996113,-13.7322
